serial_no,name,q1_cleaningstartdate,q1_cleaningenddate,remarks_q1,q2_cleaningstartdate,q2_cleaningenddate,remarks_q2,q3_cleaningstartdate,q3_cleaningenddate,remarks_q3,q4_cleaningstartdate,q4_cleaningenddate,remarks_q4,other_works_startdate,other_works_enddate,remarks_other_works,latitude_hc,longitude_hc,photourl,address_myenv,no_of_market_stalls,no_of_food_stalls,description_myenv,status,google_3d_view,google_for_stall
41,Dunman Food Centre,25/1/2023,26/1/2023,nil,24/4/2023,24/4/2023,nil,31/7/2023,31/7/2023,nil,30/10/2023,30/10/2023,nil,NA,NA,nil,1.309412003,103.901825,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg,"271, Onan Road, Singapore 424768",0,30,"Built in 1974, Dunman Food Centre has since played a vital role in providing resonably-priced cuisines to the residents of Joo Chiat area. Upgraded in 2002, the centre comprises 30 cooked food stalls.",Existing,https://goo.gl/maps/cNXGNBNLSxyrhs478,nil
42,East Coast Lagoon Food Village,16/1/2023,16/1/2023,nil,10/4/2023,11/4/2023,nil,17/7/2023,17/7/2023,nil,16/10/2023,18/10/2023,nil,NA,NA,nil,1.307729959,103.9343033,https://www.nea.gov.sg/images/default-source/hawker-centres-division/east-coast-lagoon-food-village.jpg,"1220, East Coast Parkway, Singapore 468960",0,63,"Located in the south-eastern part of Singapore, the East Coast Lagoon Food Village offers a tropical resort ambience by the sea and a wide variety of local hawker food at reasonable prices. It is a favourite haunt among sports enthusiasts and families who wish to enjoy a sumptuous meal by the sea. Popular dishes include Satay, BBQ Seafood and Chicken Wings, Zi Char, Wan Ton Noodles, Satay Bee Hoon, Beef Noodles etc.  Rated as one of the food paradises in Singapore!",Existing,https://goo.gl/maps/yRRSQZoBwhkNYzhr7,nil
43,Empress Road Blk 7 (Empress Road Market and Food Centre),13/3/2023,13/3/2023,nil,12/6/2023,12/6/2023,nil,4/9/2023,6/9/2023,nil,4/12/2023,4/12/2023,nil,NA,NA,nil,1.316310048,103.805687,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg,"Blk 7, Empress Road, Singapore 260007",68,40,"Built in 1976, the hawker centre at Blk 7 Empress Road comprises 40 cooked food stalls and 72 market stalls. Provides marketing and dining facilities to residents of Farrer estate.",Existing,https://goo.gl/maps/q1E2AYXsZretQvWT9,nil
44,Eunos Crescent Blk 4A,13/3/2023,14/3/2023,nil,5/6/2023,6/6/2023,nil,25/9/2023,27/9/2023,nil,4/12/2023,5/12/2023,nil,NA,NA,nil,1.320291996,103.9042206,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg,"Blk 4A, Eunos Crescent, Singapore 402004",71,42,The hawker centre at Blk 4A Eunos Crescent is located within close proximity to the Eunos MRT station and bus interchange. Its strategic location coupled with a wide variety of food offerings results in high patronage especially during lunch and dinner hours.,Existing,https://goo.gl/maps/fYk7bQX2TssKBbzx9,nil
45,Fernvale Hawker Centre and Market,27/3/2023,28/3/2023,nil,3/7/2023,4/7/2023,nil,25/9/2023,26/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.3917221,103.8770391,http://www.nea.gov.sg/images/default-source/hawker-centres-division/fvhcm.jpg,21 Sengkang West Avenue Singapore 797650,20,28,The Fernvale Hawker Centre and Market commenced operation in July 2022.  It is a co-located centre within the Fernvale Community Club.  It has 28 cooked food stalls and a market section.,Existing (new),nil,nil
46,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),27/3/2023,28/3/2023,nil,12/6/2023,13/6/2023,nil,18/9/2023,19/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.321529984,103.8700714,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg,"Blk 69, Geylang Bahru, Singapore 330069",127,84,"Located near amenities such as swimming pool, industrial parks, commercial shops and residential estates, Blk 69 Geylang Bahru is a focal point where patrons get to enjoy local hawker fare at affordable prices. The hawker centre was built in 1974 and houses 84 cooked food stalls cum 127 market stalls.",Existing,https://goo.gl/maps/cwHawH4fVnuL3bNX6,nil
47,Geylang Serai Market,6/3/2023,8/3/2023,nil,12/6/2023,14/6/2023,nil,4/9/2023,6/9/2023,nil,11/12/2023,14/12/2023,nil,NA,NA,nil,1.316888094,103.8974075,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg,"1, Geylang Serai, Singapore 402001",302,63,"One of the most popular hawker centres in Singapore, especially with the Malay community! The hawker centre was upgraded in 2009 and currently comprises 63 cooked food stalls and 302 market stalls. Its design, which was conceived after close consultations with grassroots and stallholders, is reminiscent of rural Malay architecture. It is the third biggest hawker centre in Singapore based on stall count.",Existing,https://goo.gl/maps/GqnrSyki8jAQmoJKA,nil
48,Ghim Moh Road Blk 20,27/2/2023,28/2/2023,nil,5/6/2023,6/6/2023,nil,4/9/2023,5/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.311059952,103.7882919,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg,"Blk 20, Ghim Moh Road, Singapore 270020",130,72,"Built in 1977, the hawker centre is famous for its wide spread of offerings such as Char Kway Teow, Chicken Rice, Soya Bean Drinks etc. 72 cooked food stalls and 158 market stalls at the hawker centre serve Ghim Moh  residents daily.",Existing,https://goo.gl/maps/PHr6KkuyKjGB6btu8,nil
49,Golden Mile Food Centre,9/1/2023,10/1/2023,nil,3/4/2023,4/4/2023,nil,17/7/2023,19/7/2023,nil,TBC,TBC,nil,NA,NA,nil,1.302873969,103.8638763,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg,"505, Beach Road, Singapore 199583",111,112,"Home to lock-up stalls selling army stuff, Golden Mile Food Centre is a ""must go"" place if you are looking for affordable army / camping equipment. The food section located at the first and second levels definitely does not pale in comparison. It offers well-known local and international cuisines by 111 cooked food stalls. Fanciful food selection at great prices!",Existing,https://goo.gl/maps/CtsFxzyR4fwCY7Hy7,nil
50,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),27/2/2023,1/3/2023,nil,26/6/2023,28/6/2023,nil,18/9/2023,21/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.315189958,103.8956528,https://www.nea.gov.sg/images/default-source/hawker-centres-division/blks-13_14-haig-road.jpg,"Blk 13/14, Haig Road, Singapore 430013/430014",79,72,"Built in 1977, the hawker centre at Blk 13/14 Haig Road is easily visible from Changi Road. Comprising 72 cooked food stalls and 146 market stalls, its ideal location as well as the wide selection of affordable hawker fare have attracted many residents and working professionals around the vicinity.",Existing,https://goo.gl/maps/5ie9BkxCiEKvCNWF6,nil
51,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),27/2/2023,27/2/2023,nil,29/5/2023,29/5/2023,nil,28/8/2023,28/8/2023,nil,27/11/2023,27/11/2023,nil,NA,NA,nil,1.288040042,103.829689,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg,"Blk 22A/B, Havelock Road, Singapore 161022/162022",0,30,"Built in 1971, the standalone hawker centre located in the Havelock area comprises 30 cooked food stalls. It went through HUP in 2005.",Existing,https://goo.gl/maps/U77XXprQ1CEWKTRT9,nil
52,Holland Drive Blk 44 (Holland Drive Market and Food Centre),TBC,TBC,nil,TBC,TBC,nil,18/9/2023,19/9/2023,nil,4/12/2023,7/12/2023,nil,1/3/2023,30/4/2023,Repairs and Redecoration,1.308189988,103.7928391,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg,"Blk 44, Holland Drive, Singapore 270044",61,45,"One of the last hawker centres to be built, Blk 44 Holland Drive has been serving the needs of residents since 1999. The two-storey hawker centre houses a market at the lower level and a food centre on the upper level. Conveniently located within walking distance from the Buona Vista MRT station.",Existing,https://goo.gl/maps/zCKhYoXRCw3WpUo7A,nil
53,Holland Village Market and Food Centre,20/2/2023,20/2/2023,nil,TBC,TBC,nil,TBC,TBC,nil,11/12/2023,11/12/2023,nil,1/5/2023,31/7/2023,Repairs and Redecoration,1.311102033,103.7949448,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg,"1, Lorong Mambong, Singapore 277700",38,21,"Situated right in the heart of Holland Village, the hawker centre was built in the pre-war years. One of the hawker centres with the longest history in Singapore! Surrounded by restaurants and bistros, the hawker centre remains a popular choice for patrons with its offering of affordable hawker fare. Comprises 21 cooked food stalls and 48 market stalls.",Existing,https://goo.gl/maps/qEgtcmo2jZSLALL38,nil
54,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),13/3/2023,14/3/2023,nil,5/6/2023,6/6/2023,nil,TBC,TBC,nil,TBC,TBC,nil,1/9/2023,30/11/2023,Repairs and Redecoration,1.354089975,103.890213,https://www.nea.gov.sg/images/default-source/hawker-centres-division/blk-105-hougang-ave-1.jpg,"Blk 105, Hougang Ave 1, Singapore 530105",120,51,"Also known as Hougang 105 Hainanese Village Centre, the hawker centre underwent a major facelift in 2005. A very popular hawker centre in the Hougang area, especially during the weekends. Serving the needs of both the residents of Lorong Ah Soo as well as the industrial area across at Defu Lane, there are currently 51 cooked food stalls and 120 market stalls within the centre.",Existing,https://goo.gl/maps/tryP2p2dgsPBwHuVA,nil
55,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),6/2/2023,6/2/2023,nil,15/5/2023,16/5/2023,nil,7/8/2023,8/8/2023,nil,20/11/2023,24/11/2023,nil,NA,NA,nil,1.359079003,103.8859253,https://www.nea.gov.sg/images/default-source/hawker-centres-division/kovan-market-and-food-centre.jpg,"Blk 209, Hougang Street 21, Singapore 530209",120,66,"Conveniently situated in the heartlands of Kovan, the hawker centre at Blk 209 Hougang Street 21 is minutes away from Kovan MRT. Built in 1983, the centre houses 65 cooked food stalls and 118 market stalls. Be prepared to queue for your favourite dish at the popular cooked food stalls within the hawker centre!",Existing,https://goo.gl/maps/8qhSVhqjSoe6dTNe9,nil
56,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),27/2/2023,28/2/2023,nil,19/6/2023,20/6/2023,nil,25/9/2023,26/9/2023,nil,20/11/2023,21/11/2023,nil,NA,NA,nil,1.302430034,103.8839798,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg,"Blk 4A, Jalan Batu, Singapore 432004",30,36,"Built in 1969, Blk 4A Jalan Batu comprises both a market and food section. The centre houses 52 cooked food stalls and 53 market stalls.",Existing,https://goo.gl/maps/CBGnutiiCbRtKxMa6,nil
57,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),9/1/2023,9/1/2023,nil,3/4/2023,3/4/2023,nil,10/7/2023,10/7/2023,nil,2/10/2023,2/10/2023,nil,NA,NA,nil,1.280069947,103.8260727,https://www.nea.gov.sg/images/default-source/hawker-centres-division/blk-112-jalan-bukit-merah.jpg,"Blk 112, Jalan Bukit Merah, Singapore 160112",58,22,"Situated in the mature estate of Jalan Bukit Merah, the hawker centre at Blk 112 Jalan Bukit Merah satisfies both the marketing and dining needs of the residents nearby.",Existing,https://goo.gl/maps/N2pakYQF64JmiAc6A,nil
58,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),13/3/2023,14/3/2023,nil,12/6/2023,13/6/2023,nil,18/9/2023,19/9/2023,nil,11/12/2023,12/12/2023,nil,NA,NA,nil,1.287009954,103.8081894,https://www.nea.gov.sg/images/default-source/hawker-centres-division/abc-brickworks-market-food-centre.jpeg,"Blk 6, Jalan Bukit Merah, Singapore 150006",48,96,"Fondly known as ABC Brickworks Market, it is within close proximity to Alexandra Food Village and IKEA. The hawker centre, which was built in 1974, is another alternative for the residents of Queenstown and Bukit Merah.  Patrons can find delicious yet affordable hawker fare at the centre.",Existing,https://goo.gl/maps/oxhQxoVnYBgmvETRA,nil
59,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),27/2/2023,27/2/2023,nil,15/5/2023,15/5/2023,nil,14/8/2023,14/8/2023,nil,20/11/2023,20/11/2023,nil,NA,NA,nil,1.288319945,103.8399963,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg,"Blk 1, Jalan Kukoh, Singapore 161001",0,21,"Built in 1969, Blk 1 Jalan Kukoh used to consist of both a market and food section. After upgrading in 2010, the centre was converted to a food centre with 21 cooked food stalls.",Existing,https://goo.gl/maps/cc3B35wLKYAFh6hV7,nil
60,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),13/3/2023,14/3/2023,nil,5/6/2023,6/6/2023,nil,18/9/2023,19/9/2023,nil,4/12/2023,5/12/2023,nil,NA,NA,nil,1.345360041,103.7315826,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg,"Blk 347, Jurong East Ave 1, Singapore 600347",91,56,"Located near to the PIE exit (Jurong Town Hall Road), the hawker centre at Blk 347 Jurong East Ave 1 is popular with residents living in the area. A wide variety of food and market produce is offered at the hawker centre by the 56 cooked food stalls and 169 market stalls. It was built in 1984 to cater to the dining and marketing needs of residents.",Existing,https://goo.gl/maps/982iT24nEKUU33788,nil
61,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),27/3/2023,28/3/2023,nil,12/6/2023,14/6/2023,nil,4/9/2023,5/9/2023,nil,18/12/2023,19/12/2023,nil,NA,NA,nil,1.343433023,103.7376862,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg,"Blk 254, Jurong East Street 24, Singapore 600254",87,60,"Located near to the PIE exit (Jurong Town Hall Road), the hawker centre at Blk 254 Jurong East Street 24 serves the marketing and dining needs of residents living in Yuhua Village.  There are 60 cooked food stalls and 87 market produce stalls operating within the hawker centre. Originally built in 1983.",Existing,https://goo.gl/maps/DXaP841L19oQhtNG8,nil
62,Jurong West Hawker Centre,TBC,TBC,nil,TBC,TBC,nil,TBC,TBC,nil,TBC,TBC,nil,NA,NA,nil,1.341223,103.697374,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg,"Blk 50, Jurong West St 61, Singapore 648202",14,34,"Completed in 2017, Jurong West Hawker Centre provides residents a comfortable and clean dining environment with natural ventilation and family-friendly features such as child-friendly toilet facilities and family-friendly seating, as well as tray-return facilities at accessible locations. To ensure affordable meals for the residents, all the stalls are serving at least two items priced at $2.80 or below.",Under Construction,https://goo.gl/maps/cEQ6DfWrvQ24cKFm7,nil
63,Jurong West Street 52 Blk 505,13/3/2023,14/3/2023,nil,12/6/2023,13/6/2023,nil,18/9/2023,19/9/2023,nil,4/12/2023,6/12/2023,nil,NA,NA,nil,1.349699974,103.7184601,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg,"Blk 505, Jurong West Street 52, Singapore 640505",130,60,"The hawker centre at Blk 505 Jurong West Street 52 was built in 1985.  Located in the heart of the Jurong West estate, the centre serves patrons from the nearby residential flats and schools.  Last upgraded in 2009, the centre comprises a total of 190 stalls - 60 cooked food and 130 market stalls.",Existing,https://goo.gl/maps/m3LqaGZoRPxjgmrZ9,nil
64,Kallang Estate Fresh Market and Food Centre,27/3/2023,27/3/2023,nil,12/6/2023,12/6/2023,nil,18/9/2023,18/9/2023,nil,4/12/2023,6/12/2023,nil,NA,NA,nil,1.307112455,103.8841476,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg,"17, Old Airport Road, Singapore 397972",78,16,"Located just minutes away from Blk 51 Old Airport Road, the Kallang Estate Fresh Market and Food Centre provides both dining and marketing services for Kallang residents. Built in 1959, the centre comprises 16 cooked food stalls and 78 market stalls.",Existing,https://goo.gl/maps/EmMR63uxXeu456nB8,nil
65,Kampung Admiralty Hawker Centre,20/3/2023,21/3/2023,nil,26/6/2023,27/6/2023,nil,11/9/2023,12/9/2023,nil,4/12/2023,6/12/2023,nil,NA,NA,nil,1.440119,103.800735,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg,"Blk 676, Woodlands Drive 71, Singapore 730676",0,43,The Kampung Admiralty Hawker Centre commenced operation in August 2017.It has 43 cooked food stalls and is conveniently located beside the Admiralty MRT Station and a stone's throw from the Woodlands Galaxy Community Club.,Existing (new),https://goo.gl/maps/1oSw88k83XpFMAMJ8,nil
66,Margaret Drive Hawker Centre,13/2/2023,13/2/2023,nil,15/5/2023,17/5/2023,nil,21/8/2023,21/8/2023,nil,6/11/2023,6/11/2023,nil,NA,NA,nil,1.2974259,103.8047105,http://www.nea.gov.sg/images/default-source/hawker-centres-division/mdhc.jpg,"38A Margaret Drive, Singapore 142038",0,38,"Margaret Drive Food Centre commenced business operations on 1 Aug 2022.With 38 cooked food stalls, all of which were relocated from Commonwealth Drive Food Centre, residents of Commonwealth and Queenstown will enjoy a variety of local dishes with a sense of familiarity.",Existing,nil,nil
67,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),13/3/2023,14/3/2023,nil,12/6/2023,13/6/2023,nil,18/9/2023,19/9/2023,nil,4/12/2023,7/12/2023,nil,NA,NA,nil,1.302330017,103.9063873,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg,"Blk 84, Marine Parade Central, Singapore 440084",50,55,"Located across Parkway Parade Shopping Centre, the hawker centre has been around since 1976. It is popular with patrons throughout the day. A wide variety of local food is available at the hawker centre including Char Kway Teow, Beef Noodles, Economical Rice, Desserts etc.  Comprises 55 cooked food stalls and 143 market stalls.",Existing,https://goo.gl/maps/NydiqM9WMSnLKTcA9,nil
68,Marine Terrace Blk 50A (50A Marine Terrace),20/3/2023,21/3/2023,nil,TBC,TBC,nil,TBC,TBC,nil,18/12/2023,21/12/2023,nil,3/7/2023,2/10/2023,Repairs and Redecoration,1.305809975,103.9157867,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg,"Blk 50A, Marine Terrace, Singapore 441050",87,24,Built in 1975 to serve the residents living within the Marine Terrace estate. The hawker centre is located just next to the Marine Parade Town Council. Comprises 24 cooked food stalls and 87 market stalls.,Existing,https://goo.gl/maps/RSpC6f5gHC4TufUo6,nil
69,Market Street Hawker Centre,18/3/2023,18/3/2023,nil,17/6/2023,17/6/2023,nil,16/9/2023,17/9/2023,nil,23/12/2023,23/12/2023,nil,NA,NA,nil,1.2840757,103.8501046,http://www.nea.gov.sg/images/default-source/hawker-centres-division/market-street-hc.jpg,"CapitaSpring, 86 Market Street, Singapore 048947",0,56,"Located next to Raffles Place MRT Station, Market Street Hawker Centre is housed on the second and third levels of CapitaSpring Building. With 56 cooked food stalls spread over these two levels, patrons visiting the business district may enjoy a good variety of delicious local hawker fare. It is quite a common sight to see crowds, especially during lunch hours from Mondays to Fridays.",Existing,nil,nil
70,Marsiling Lane Blk 20/21,13/3/2023,14/3/2023,nil,12/6/2023,13/6/2023,nil,11/9/2023,12/9/2023,nil,4/12/2023,6/12/2023,nil,NA,NA,nil,1.443989992,103.7772598,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",112,52,"Built in 1975, the hawker centre at Blk 20/21 Marsiling Road houses 52 cooked food stalls and 112 market stalls.  Upgraded in 2009.",Existing,https://goo.gl/maps/nYC5TqgCVJgYyvfP6,nil
71,Marsiling Mall Hawker Centre,20/3/2023,21/3/2023,nil,5/6/2023,6/6/2023,nil,4/9/2023,5/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.433543,103.779881,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,"Blk 4,Woodlands St 12,Singapore738623",0,70,"Built in 2017, and located close to the heart of Woodlands, Marsiling Mall Hawker Centre offers residents convenient access to a variety of good and affordable hawker food. This hawker centre is also situated adjacent to Woodlands Sports Centre, bringing hawker food to the doorstep of sports facility users.",Existing,https://goo.gl/maps/Rc9a9cNvaAqvN3bn6,nil
72,Maxwell Food Centre (Kim Hua Market),20/3/2023,20/3/2023,nil,19/6/2023,19/6/2023,nil,25/9/2023,27/9/2023,nil,18/12/2023,18/12/2023,nil,NA,NA,nil,1.280550957,103.8444595,https://www.nea.gov.sg/images/default-source/hawker-centres-division/maxwell-food-centre.jpg,"1, Kadayanallur Street, Singapore 069184",0,103,"Maxwell Food Centre began its roots in 1935. One of the iconic hawker centres in Singapore, the food centre now consists of 103 cooked food stalls. Popular hawker fare such as Chicken Rice, Tapioca Kueh, Porridge, Desserts and more can be found here.",Existing,https://goo.gl/maps/xN3zBUH1zDAKs5AH6,nil
73,Mei Chin Road Blk 159 (Mei Chin Road Market),13/3/2023,14/3/2023,nil,12/6/2023,13/6/2023,nil,4/9/2023,5/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.293300033,103.8029633,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,"Blk 159, Mei Chin Road, Singapore 140159",66,47,"Built in 1970 to serve the Mei Ling estate, the hawker centre at Blk 159 Mei Chin Road was upgraded in 2009 to improve circulation space and ventilation. Comprises 47 cooked food stalls and 66 market stalls.",Existing,https://goo.gl/maps/AZhzQXxPTsF8mU669,nil
74,New Market Road Blk 32 (People's Park Food Centre),6/3/2023,7/3/2023,nil,TBC,TBC,nil,4/9/2023,5/9/2023,nil,4/12/2023,5/12/2023,nil,1/4/2023,30/6/2023,Repairs and Redecoration,1.284870982,103.8425903,https://www.nea.gov.sg/images/default-source/hawker-centres-division/people's-park-food-centre.jpg,"Blk 32, New Market Road, Singapore 050032",0,87,"Fondly known as People's Park Complex, it is located right in the heart of the bustling Chinatown. It is a favourite haunt for elderly folks to catch up and enjoy a delicious yet affordable meal.  Extremely accessible by bus or MRT. Upgraded in 2005, it has 87 cooked food stalls located on the ground floor. The second and third floors comprise HDB shops selling fabrics, fashion and home wares.",Existing,https://goo.gl/maps/XMk5ztrP752Kajb7A,nil
75,New Upper Changi Road Blk 208B (Bedok Interchange Hawker Centre),6/3/2023,7/3/2023,nil,12/6/2023,13/6/2023,nil,11/9/2023,12/9/2023,nil,18/12/2023,22/12/2023,nil,NA,NA,nil,1.324629,103.930477,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,"Blk 208B, New Upper Changi Road, Singapore 462208",0,70,"Completed in 2014, this new food centre replaces the hawker centre at Blk 207 Upper Changi Road.  Also know as Bedok Interchange Hawker Centre,  it houses more seating areas for diners, more parking lots at the adjacent multi-storey carpark, and high-volume, low-speed cooling fans to provide patrons a more comfortable and cooler dining experience.  The centre also has NETS cashless payment system implemented at food stalls and free wireless internet connection via Wireless@SG for the convenience of patrons.",Existing,https://goo.gl/maps/PiJvSgpkcnWymhmx7,nil
76,New Upper Changi Road Blk 58,27/3/2023,27/3/2023,nil,16/6/2023,16/6/2023,nil,TBC,TBC,nil,TBC,TBC,nil,2/10/2023,15/12/2023,Repairs and Redecoration,1.32516551,103.940155,https://www.nea.gov.sg/images/default-source/hawker-centres-division/blk-58-new-upper-changi-road.jpg,"Blk 58, New Upper Changi Road, Singapore 461058",147,48,"Comprising a market produce and cooked food section, the hawker centre at Blk 58 New Upper Changi Road was built in 1978 to serve the marketing and dining needs of patrons living in Bedok South. Especially popular during the breakfast and lunch hours.",Existing,https://goo.gl/maps/5gG523R9LyQ89KWLA,nil
77,Newton Food Centre,TBC,TBC,nil,22/5/2023,23/5/2023,nil,5/9/2023,7/9/2023,nil,4/12/2023,5/12/2023,nil,1/11/2022,31/1/2023,Repairs and Redecoration,1.312224984,103.8397293,https://www.nea.gov.sg/images/default-source/hawker-centres-division/newton-food-centre.jpeg,"500, Clemenceau Ave North, Singapore 229495",0,83,"Popular with both locals and tourists alike.  Often rated by foodies as one of the best hawker centres in Singapore, Newton Food Centre is well known for dishes like BBQ Seafood, Hokkien Mee, Po Piah, Satay, Fried Carrot Cake etc.  Extremely crowded during dinner and supper time, this is definitely a hawker centre that you must visit!  Located in the Cairnhill / Newton area and a stone's throw away from Newton MRT.",Existing,https://goo.gl/maps/qeDc8Kn2Yo85NpZ2A,nil
78,North Bridge Road Market,27/2/2023,28/2/2023,nil,15/5/2023,15/5/2023,nil,TBC,TBC,nil,TBC,TBC,nil,15/9/2023,14/12/2023,Repairs and Redecoration,1.305847049,103.8638611,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg,"861, North Bridge Road, Singapore 198783",82,37,Originally built in 1973 as a two-storey building. North Bridge Road Market was converted into a single-storey hawker centre after its upgrading in 2005. The centre now comprises 37 cooked food stalls and 82 market stalls.,Existing,https://goo.gl/maps/CXZqNHAyE9ojju4t7,nil
79,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),13/3/2023,16/3/2023,nil,5/6/2023,8/6/2023,nil,2/10/2023,5/10/2023,nil,18/12/2023,21/12/2023,nil,NA,NA,nil,1.308279991,103.8858414,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg,"Blk 51, Old Airport Road, Singapore 390051",54,168,"The renowned Blk 51 Old Airport Road is famed for its excellent yet affordable food. Built in 1973, it consists of 168 cooked food stalls on the ground level and 54 lock-up stalls on the second level. The large number of cooked food stalls serve up an amazing array of cuisines, from local hawker fare to international food. Get thrilled by the gastronomic experience offered by the numerous stalls!",Existing,https://goo.gl/maps/HG2MPcSttQtTvJbg7,nil
116,One Punggol Hawker Centre,9/1/2023,10/1/2023,nil,3/4/2023,4/4/2023,nil,10/7/2023,12/7/2023,nil,2/10/2023,3/10/2023,nil,NA,NA,nil,1.4087476,103.9051695,http://www.nea.gov.sg/images/default-source/hawker-centres-division/onepunggol_hc.jpg,1 Punggol Drive Singapore 828629,0,34,"The One Punggol Hawker Centre commenced operation in October 2022 and is located on level 2 of the One Punggol Integrated Hub.It has 34 cooked food stalls.For more information, please refer to https://onepunggolhc.sg",Existing (new),nil,nil
80,The Hawker Centre @ Our Tampines Hub,3/1/2023,4/1/2023,nil,4/4/2023,5/4/2023,nil,11/7/2023,12/7/2023,nil,3/10/2023,4/10/2023,nil,NA,NA,nil,1.352983,103.940231,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,"1 Tampines Walk, Singapore 528523",0,42,"The Hawker Centre @ Our Tampines Hub commenced operation in November 2016.It is located within Our Tampines Hub, an integrated community and lifestyle hub that offers a range of services and facilities.The hawker centre has 42 cooked food stalls.",Existing (new),https://goo.gl/maps/VkRCyuv3EmHHRXXY7,nil
81,Pasir Panjang Food Centre,27/2/2023,27/2/2023,nil,29/5/2023,30/5/2023,nil,28/8/2023,28/8/2023,nil,27/11/2023,27/11/2023,nil,NA,NA,nil,1.275658965,103.7915573,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg,"121, Pasir Panjang Road, Singapore 118543",0,45,"Situated along Pasir Panjang Road and near to industrial estates, the food centre comprises 45 cooked food stalls and serves a variety of hawker fare including BBQ Seafood and Zi Char. Built in 1978.",Existing,https://goo.gl/maps/s4hcBJxpBkBjf7ix7,nil
