organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Ministry of Trade and Industry - Department of Statistics,b163d231-7cf8-49c6-9a80-b04bdb005e71,"Changes in Total Demand In Chained (2015) Dollars, Quarterly",2016-06-15,2019-09-16,"The percentage change over corresponding quarter of previous year of total demand and its components, expressed in chained (2015) dollars. Total demand is the sum of total domestic demand and external demand.",Quarterly,1977-01-01,2019-06-30,a5271f0a-fd21-4a1b-8524-27987481997a,"Changes in Total Demand Components In Chained (2015) Dollars, Quarterly",na,CSV
Ministry of Trade and Industry - Department of Statistics,b163d231-7cf8-49c6-9a80-b04bdb005e71,"Changes in Total Demand In Chained (2015) Dollars, Quarterly",2016-06-15,2019-09-16,"The percentage change over corresponding quarter of previous year of total demand and its components, expressed in chained (2015) dollars. Total demand is the sum of total domestic demand and external demand.",Quarterly,1977-01-01,2019-06-30,e5043df9-7090-4ba7-8995-f8a11f533b10,"Changes in Total Domestic Demand Components In Chained (2015) Dollars, Quarterly",na,CSV
Ministry of Trade and Industry - Department of Statistics,b163d231-7cf8-49c6-9a80-b04bdb005e71,"Changes in Total Demand In Chained (2015) Dollars, Quarterly",2016-06-15,2019-09-16,"The percentage change over corresponding quarter of previous year of total demand and its components, expressed in chained (2015) dollars. Total demand is the sum of total domestic demand and external demand.",Quarterly,1977-01-01,2019-06-30,69707661-0f60-4f63-84eb-4691ba73363f,"Changes in Final Domestic Demand Components In Chained (2015) Dollars, Quarterly",na,CSV
Ministry of Trade and Industry - Department of Statistics,b163d231-7cf8-49c6-9a80-b04bdb005e71,"Changes in Total Demand In Chained (2015) Dollars, Quarterly",2016-06-15,2019-09-16,"The percentage change over corresponding quarter of previous year of total demand and its components, expressed in chained (2015) dollars. Total demand is the sum of total domestic demand and external demand.",Quarterly,1977-01-01,2019-06-30,b3d16764-f6aa-48d8-8f0c-d89a933bbbe6,Changes in Final Domestic Demand Components by Public/Private Breakdown,na,CSV
Ministry of Trade and Industry - Department of Statistics,4cea6a87-b9ab-4348-a7c3-f4af9c47f8ee,"Changes In Value Added Per Worker At Current Prices By Industry (SSIC 2015), Quarterly",2016-06-20,2019-08-19,"The percentage change over the same quarter of the previous year of value added per worker, expressed in current prices. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",Quarterly,1992-01-01,2019-06-30,d04e8fec-3001-4cda-9b93-275a4fb1ef18,"Changes In Value Added Per Worker At Current Prices, Quarterly","The percentage change over the same quarter of the previous year of value added per worker, expressed in current prices. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",CSV
Ministry of Trade and Industry - Department of Statistics,4cea6a87-b9ab-4348-a7c3-f4af9c47f8ee,"Changes In Value Added Per Worker At Current Prices By Industry (SSIC 2015), Quarterly",2016-06-20,2019-08-19,"The percentage change over the same quarter of the previous year of value added per worker, expressed in current prices. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",Quarterly,1992-01-01,2019-06-30,fe55cdb6-4a6f-4b14-a1a0-b5cfd27906f4,"Changes In Value Added Per Worker At Current Prices By Industry, Quarterly","The percentage change over the same quarter of the previous year of value added per worker, expressed in current prices. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",CSV
Ministry of Trade and Industry - Department of Statistics,4cea6a87-b9ab-4348-a7c3-f4af9c47f8ee,"Changes In Value Added Per Worker At Current Prices By Industry (SSIC 2015), Quarterly",2016-06-20,2019-08-19,"The percentage change over the same quarter of the previous year of value added per worker, expressed in current prices. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",Quarterly,1992-01-01,2019-06-30,cfb1ebab-e158-4893-ab8c-d509173ddf03,"Changes In Value Added Per Worker At Current Prices By Detailed Industry, Quarterly","The percentage change over the same quarter of the previous year of value added per worker, expressed in current prices. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",CSV
Ministry of Trade and Industry - Department of Statistics,81b19faf-6a87-4010-bc3b-478979a54441,"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2015), Annual",2016-02-29,2020-02-03,Value Added per worker,Annual,1984-01-01,2018-12-31,6b2ae62e-42ee-40f6-b603-cf81c3b2118f,"Changes in Value Added Per Worker in chained (2015) dollars, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,81b19faf-6a87-4010-bc3b-478979a54441,"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2015), Annual",2016-02-29,2020-02-03,Value Added per worker,Annual,1984-01-01,2018-12-31,98153b30-9975-4ba2-95e5-cf46759d74c3,"Changes in Value Added Per Worker In Chained (2015) Dollars by Industry, Annual",In Chained (2015) Dollars,CSV
Ministry of Trade and Industry - Department of Statistics,81b19faf-6a87-4010-bc3b-478979a54441,"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2015), Annual",2016-02-29,2020-02-03,Value Added per worker,Annual,1984-01-01,2018-12-31,594b0405-8395-47e4-be8c-ae2c50e69808,"Changes in Value Added Per Worker In Chained (2015) Dollars by Detailed Industry, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,9eeff7a5-ddcb-4c1f-8b7d-ccb1e248f9cb,"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2015), Quarterly",2019-08-18,2019-08-19,"The percentage change over the same quarter of the previous year of value added per worker, expressed in chained (2015) dollars. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",Quarterly,1992-01-01,2019-06-30,218ada72-05b6-4a11-8524-73adde824145,"Changes in Value Added Per Worker in chained (2015) dollars, Quarterly",na,CSV
Ministry of Trade and Industry - Department of Statistics,9eeff7a5-ddcb-4c1f-8b7d-ccb1e248f9cb,"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2015), Quarterly",2019-08-18,2019-08-19,"The percentage change over the same quarter of the previous year of value added per worker, expressed in chained (2015) dollars. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",Quarterly,1992-01-01,2019-06-30,4aabccef-8193-4b1e-aa22-dc9cb7e2c938,"Changes in Value Added Per Worker In Chained (2015) Dollars by Industry, Quarterly",In Chained (2015) Dollars,CSV
Ministry of Trade and Industry - Department of Statistics,9eeff7a5-ddcb-4c1f-8b7d-ccb1e248f9cb,"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2015), Quarterly",2019-08-18,2019-08-19,"The percentage change over the same quarter of the previous year of value added per worker, expressed in chained (2015) dollars. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.",Quarterly,1992-01-01,2019-06-30,6e36d276-1eb6-45d7-ae21-ab2108a5b521,"Changes in Value Added Per Worker In Chained (2015) Dollars by Detailed Industry, Quarter",na,CSV
Ministry of Health,31e92629-980d-4672-af33-cec147c18102,CHAS Clinics,2015-10-20,2020-01-30,Listing on the locations of Clincs with Community Health Assist Scheme (CHAS).,Daily,na,na,21dace06-c4d1-4128-9424-aba7668050dc,CHAS Clinics (KML),na,KML
Ministry of Health,31e92629-980d-4672-af33-cec147c18102,CHAS Clinics,2015-10-20,2020-01-30,Listing on the locations of Clincs with Community Health Assist Scheme (CHAS).,Daily,na,na,cb94adc3-aaf6-4352-982e-01014f6a5716,CHAS Clinics (GEOJSON),na,GeoJSON
Ministry of Social and Family Development,dd2bd2ce-ee9d-4f4e-841e-877762182325,"Child Abuse Investigations, Annual",2016-05-10,2017-02-06,"MSF's Child Protective Service (CPS) provides statutory intervention and supportive services to address the needs of children and young persons who have been seriously harmed or are at high risk of serious harm. 

The count refers to the number of child abuse investigations on an annual basis.",Annual,2006-01-01,2014-12-31,6225d302-1a2b-43e9-bbb8-b359bab9bae8,"Child Abuse Investigations, Annual",na,CSV
Ministry of Social and Family Development,56c0fdb7-a92c-473c-b89b-16a6b04e7695,"Child Care Centres, Capacity and Enrolment, Annual",2015-10-29,2017-02-06,"This Dataset shows the number of Child Care Centres, as well as each of their enrollment rate.",Annual,2002-01-01,2014-12-31,ba39f632-4409-4af5-9918-d3f2a38b09e0,"Child Care Centres, Capacity and Enrolment, Annual",na,CSV
Ministry of Health,de7660ba-5b17-4634-a099-ca0cd88e67b7,Children's Immunisation Statistics,2017-02-18,2019-10-15,"* Percentage of children aged 2 years immunised against tuberculosis, diphtheria, poliomyelitis, hepatitis B and measles
* Percentage of primary 1 & equivalent age groups immunized against measles, mumps & rubella",Annual,2006-01-01,2018-12-31,2a5c72c4-90f0-4c15-8aa3-5df3e902a926,Percentage of Children Aged 2 Years Immunised,"Percentage of children aged 2 years immunised against tuberculosis, diphtheria, poliomyelitis, hepatitis B and measles",CSV
Ministry of Health,de7660ba-5b17-4634-a099-ca0cd88e67b7,Children's Immunisation Statistics,2017-02-18,2019-10-15,"* Percentage of children aged 2 years immunised against tuberculosis, diphtheria, poliomyelitis, hepatitis B and measles
* Percentage of primary 1 & equivalent age groups immunized against measles, mumps & rubella",Annual,2006-01-01,2018-12-31,3461a8a2-85fe-4628-baaa-3e4d5498c808,Percentage of Primary 1 and Equivalent Age Groups Immunised,"Percentage of primary 1 and equivalent age groups immunised against measles, mumps and rubella",CSV
Infocomm Media Development Authority,34f6fbb3-5391-4c7e-86dc-5ee57cd8942a,Children's Daily Time Spent on Media Activities,2016-09-07,2017-03-28,"Data extracted from the IMDA Zero-to-Fourteen Consumer Experience Study, an annual survey conducted by IMDA that aims to understand children's (aged 0 to 14) media consumption habits.

For more information, please visit: 
https://www.imda.gov.sg/industry-development/facts-and-figures/media-consumer-experience-study",Annual,2014-01-01,2015-12-31,606fea8c-462b-4a98-bfa1-f6f01073dc5a,Daily time spent on media activities,na,CSV
Ministry of Trade and Industry - Department of Statistics,e5399921-1bd7-4ec9-99a7-27b561f63137,"Chinese Resident Population by Age Group, Dialect Group and Sex, 2015",2017-12-15,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,09223f90-ab2c-4e34-b1cb-28a2b49f5799,"Chinese Resident Population by Age Group (Total), Dialect Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,e5399921-1bd7-4ec9-99a7-27b561f63137,"Chinese Resident Population by Age Group, Dialect Group and Sex, 2015",2017-12-15,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,fd36c6da-e30d-45ff-8481-aa5c1067d5e6,"Chinese Resident Population by Age Group, Dialect Group and Sex",na,CSV
Civil Aviation Authority of Singapore,d43ebf7e-79b3-42f3-8170-6c46e3bdb899,"Civil Aircraft Arrivals, Departures, Passengers And Mail, Changi Airport, Monthly",2015-05-20,2020-02-03,Data from January 1989 refers to Changi Airport only.,Monthly,1980-01-01,2019-12-31,1a08ce4d-aafc-4fee-afb7-e8f4c3a41d80,"Civil Aircraft Arrivals, Departures and Passengers, Changi Airport, Monthly",na,CSV
Civil Aviation Authority of Singapore,d43ebf7e-79b3-42f3-8170-6c46e3bdb899,"Civil Aircraft Arrivals, Departures, Passengers And Mail, Changi Airport, Monthly",2015-05-20,2020-02-03,Data from January 1989 refers to Changi Airport only.,Monthly,1980-01-01,2019-12-31,57e7a59d-1e44-404a-bbb5-6684bb0f03bd,"Volume of Mail, Changi Airport, Monthly",na,CSV
GovTech,df210f09-4606-4117-84cf-eadbd961e1df,CKAN Datastore Search,2018-02-20,2018-02-20,This API allows you to search for data in a resource.,Realtime,2018-02-20,na,6a7db56a-4df7-4228-8d57-37ded1b09306,CKAN Datastore Search,na,API
GovTech,cb136b98-fb86-42f4-b289-0d474faa0fc7,CKAN Package List,2018-02-20,2018-02-20,This API returns a list of datasets on data.gov.sg,Realtime,2018-02-20,na,83699a35-b761-435f-a174-7ea28ec3c447,CKAN Package List API,na,API
GovTech,27646f23-8723-4a10-84af-18453105fe78,CKAN Package Show,2018-02-20,2018-02-20,This API returns the metadata of a dataset (package) and its resources,Annual,2018-02-20,2018-02-28,f6c9240a-d583-4ad0-810c-c5d1b8585b9a,CKAN Package Show,na,API
GovTech,fa04173d-111c-4385-a127-2ca88157bd72,CKAN Resource Show,2018-02-20,2018-02-20,This API returns the metadata of a resource on Data.gov.sg,Realtime,2018-02-20,na,b90449b0-7db3-4267-b033-b8f18f2cd2fd,CKAN Resource Show,na,API
Ministry of Manpower,997ca9cf-3c88-4fb6-b2df-87cccb1d5df9,Issues of Claims Involving Non-Unionised Workers,2016-05-21,2017-02-06,"This dataset shows the number of issues registered by non-unionised workers. One worker may register multiple issues during the registration of a claim, hence the figures do not translate to number of claims registered.",Annual,2004-01-01,2014-12-31,52a564de-5ba0-4e9a-9468-69c740f6f137,Issues of claims registered by non-unionised workers,"This dataset shows the number of issues registered by non-unionised workers. One worker may register multiple issues during the registration of a claim, hence the figures do not translate to number of claims registered.",CSV
Health Sciences Authority,ea536588-a20a-4241-8c48-f8ff006c2a0a,Class A Medical Device,2019-02-25,2019-12-19,Class A Medical Device,Annual,2019-01-01,2019-12-31,1015ffde-878b-4e41-ae33-3c378e01231f,Class A MD Database,Class A MD Database,CSV
National Environment Agency,1fad2a20-666e-4921-a6b2-675ded2e7169,Cleaning Sectors,2017-08-01,2019-01-24,Boundaries of areas cleaned by NEA outsourced contractors (Excluding the cleaning of expressway),Adhoc,na,na,43d8af13-241c-4578-b988-36eab20ddc0e,Cleaning Sectors (KML),na,KML
National Environment Agency,1fad2a20-666e-4921-a6b2-675ded2e7169,Cleaning Sectors,2017-08-01,2019-01-24,Boundaries of areas cleaned by NEA outsourced contractors (Excluding the cleaning of expressway),Adhoc,na,na,d804f42e-6d47-4b11-87c3-4f8a67878719,Cleaning Sectors (GEOJSON),na,GeoJSON
National Environment Agency,27d108d0-8e5e-4d45-b2bc-0f9c8e94a8b0,Climate Change and Energy - Carbon Dioxide Emissions (From Combustion of Fossil Fuels),2015-05-20,2017-04-21,Carbon Dioxide Emissions (From Combustion of Fossil Fuels),Annual,2007-01-01,2013-12-31,aa650271-7c04-4705-a1ba-9f0467aef3e9,Carbon Dioxide Emissions (From Combustion Of Fossil Fuels),na,CSV
National Environment Agency,445b57fb-79e8-42ab-8be0-aaa2ad8739ce,Climate Change and Energy - Carbon Intensity of Electricity Generation,2015-05-20,2017-04-21,Carbon intensity of electricity generation.,Annual,2007-01-01,2013-12-31,a3bf7c2a-937c-4f8b-922a-cb7ae3388ffa,Carbon Intensity of Electricity Generation,na,CSV
National Environment Agency,5ad3a4f7-4e37-4a77-9306-813413d0191f,Climate Change and Energy - Energy Consumption Per Dollar GDP (% Improvement From 2005 Levels),2015-05-20,2017-04-21,Energy Consumption Per Dollar GDP (% Improvement From 2005 Levels),Annual,2007-01-01,2013-12-31,45e7f290-a25b-468e-9692-6dc14297734d,Energy Consumption Per Dollar GDP (% Improvement From 2005 Levels),na,CSV
National Environment Agency,e3075128-6194-457f-b677-5f2a0dd87e31,Climate Change and Energy - Green Vehicles,2015-05-20,2017-04-21,Number of green vehicles (registered),Annual,2003-01-01,2014-12-31,105f3ee1-4cfa-4079-bbf1-7c96fbf9a896,Climate Change and Energy - Green Vehicles,na,CSV
Land Transport Authority,13c53c26-75df-4136-9853-469dc18faccf,Certificate of Entitlement (COE) Bidding Results,2016-04-29,2019-06-24,There are 2 COE Open Bidding exercises in a month. The bidding exercises usually start on the first Monday and third Monday of the month at 12pm and lasts for 3 working days. The exercises will usually end on the Wednesday in the same week at 4pm.,Other,2010-01-01,2019-05-31,f7bbdc43-c568-4e60-9afa-b77ba5a14aa0,COE Results,"Prevailing quota premium (PQP) for existing vehicles is a moving average of the QP over the last 3 months.

From Feb 2014 bidding exercise onwards, Category A will add a new engine power criterion of up to 97kW to the existing engine capacity 

- Category A: Car up to 1600CC & 97KW
- Category B: Car above 1600CC or 97KW
- Category C: Goods Vehicle & Bus
- Category D: Motorcycle
- Category E: Open",CSV
Land Transport Authority,13c53c26-75df-4136-9853-469dc18faccf,Certificate of Entitlement (COE) Bidding Results,2016-04-29,2019-06-24,There are 2 COE Open Bidding exercises in a month. The bidding exercises usually start on the first Monday and third Monday of the month at 12pm and lasts for 3 working days. The exercises will usually end on the Wednesday in the same week at 4pm.,Other,2010-01-01,2019-05-31,85deb904-fbf9-46bc-80fd-9676213bbf1f,COE Results (Prevailing Quota Premium),"Prevailing quota premium (PQP) for existing vehicles is a moving average of the QP over the last 3 months.
From Feb 2014 bidding exercise onwards, Category A will add a new engine power criterion of up to 97kW to the existing engine capacity",CSV
Ministry of Manpower,484a8630-173f-49a0-8a67-71c34167e522,Collective Agreements Certified by Type of Organisations,2016-05-26,2019-06-12,"Categories of employees covered by Collective Agreements Certified. 

Agreements are those between employers and employees on employment, non-employment, terms of employment, or conditions of work. The duration of a collective agreement is specified and by law shall not be less than two years or more than three years.",Annual,2005-01-01,2018-12-31,f0956f18-7659-4f29-8de6-e3391864bedc,Total Collective Agreements certified by type of organisations,Total employees covered by Collective Agreements certified,CSV
Ministry of Manpower,484a8630-173f-49a0-8a67-71c34167e522,Collective Agreements Certified by Type of Organisations,2016-05-26,2019-06-12,"Categories of employees covered by Collective Agreements Certified. 

Agreements are those between employers and employees on employment, non-employment, terms of employment, or conditions of work. The duration of a collective agreement is specified and by law shall not be less than two years or more than three years.",Annual,2005-01-01,2018-12-31,14661c85-6ff0-4bf5-97d7-80cef48fbae0,Collective Agreements certified by type of organisations,Categories of employees covered by Collective Agreements certified,CSV
Ministry of Manpower,694bff49-9e14-40d4-8300-979da6f2b714,Collective Agreements Certified by Type of Workers Covered,2016-05-26,2019-06-12,"Categories of employees covered by Collective Agreements Certified.

Agreements are those between employers and employees on employment, non-employment, terms of employment, or conditions of work. The duration of a collective agreement is specified and by law shall not be less than two years or more than three years.",Annual,2005-01-01,2018-12-31,4f2f6e52-212a-4002-a03e-ac828d945918,Total Collective Agreements Certified by Type of Workers Covered,Categories of employees covered by collective agreements certified,CSV
Ministry of Manpower,694bff49-9e14-40d4-8300-979da6f2b714,Collective Agreements Certified by Type of Workers Covered,2016-05-26,2019-06-12,"Categories of employees covered by Collective Agreements Certified.

Agreements are those between employers and employees on employment, non-employment, terms of employment, or conditions of work. The duration of a collective agreement is specified and by law shall not be less than two years or more than three years.",Annual,2005-01-01,2018-12-31,43d9fd22-787c-46a4-8fda-3e99376e009b,Collective Agreements Certified by Type of Workers Covered,"Categories of employees covered by collective agreements certified.
In 2013, there was a re-categorisation of categories for the type of workers covered. 'Professionals, Managers, Executives & Technicians' was broken down to 2 new categories- 'Professionals, Managers & Executives' and 'Associate Professionals & Technicians'. 'Production & Transport Operators, Cleaners & Labourers' was replaced by a new category 'Production, Transport & Manual Workers'. In addition, a new category, 'Maritime Officers & Seaman' was created and tracked from 2013.",CSV
Ministry of Education,f724d798-a6e6-4c8f-9b78-9d4ff36f0974,"Combined And Gross Enrolment Ratio For Primary, Secondary & Tertiary Education",2015-05-20,2019-10-07,"- Percentages of children in school - the number of pupils enrolled in a given level of education regardless of age expressed as a percentage of population in the theoretical age group for that level of education
- Refers to resident population, i.e. Singapore citizens and permanent residents.
- From 2005, the gross enrolment ratios include private education institutions.
- From 2010, the gross enrolment ratios are adjusted for residents who are based overseas and cannot be enrolled in Singapore.
- Year 1 Diploma courses are classified as post-secondary non-tertiary under ISCED 2011 from 2016 onwards.",Annual,1990-01-01,2017-12-31,9dcdd20c-e24c-46a4-9044-cc2b2745a7fc,"Combined And Gross Enrolment Ratio For Primary, Secondary & Tertiary Education",na,CSV
"Ministry of Culture, Community and Youth",e56bf806-051d-40b5-8318-77fc1df70d0d,Commissioner of Charities Annual Report,2018-11-23,2019-06-28,List of data on charities and IPCs collected from office of Commissioner of Charities,Annual,2012-01-01,2018-12-31,ac328473-4131-4651-9b78-ab9270e1ea33,Number of Charities by Sector,This dataset is published in the Commissioner of Charities Annual Report which contains the number of charities sorted annually by sector,CSV
"Ministry of Culture, Community and Youth",e56bf806-051d-40b5-8318-77fc1df70d0d,Commissioner of Charities Annual Report,2018-11-23,2019-06-28,List of data on charities and IPCs collected from office of Commissioner of Charities,Annual,2012-01-01,2018-12-31,18b032bd-2b44-4f6a-8202-2b0d2976b9b2,Tax Deductible Donations by Sector and Source,This dataset is published in the Commissioner of Charities Annual Report which contains the amount of tax deductible donations sorted annually by sector and source.,CSV
"Ministry of Culture, Community and Youth",e56bf806-051d-40b5-8318-77fc1df70d0d,Commissioner of Charities Annual Report,2018-11-23,2019-06-28,List of data on charities and IPCs collected from office of Commissioner of Charities,Annual,2012-01-01,2018-12-31,3026ed72-948e-4a8c-a72c-154b3dc87369,Annual Receipts by Sector and Source,This dataset is published in the Commissioner of Charities Annual Report which contains the annual receipts sorted annually by sector and source.,CSV
"Ministry of Culture, Community and Youth",e56bf806-051d-40b5-8318-77fc1df70d0d,Commissioner of Charities Annual Report,2018-11-23,2019-06-28,List of data on charities and IPCs collected from office of Commissioner of Charities,Annual,2012-01-01,2018-12-31,660bc90d-d8fc-4367-a612-158945698a4e,Total Donations by Sector,This dataset is published in the Commissioner of Charities Annual Report which contains the amount of total donations sorted annually by Sector.,CSV
"Ministry of Culture, Community and Youth",e56bf806-051d-40b5-8318-77fc1df70d0d,Commissioner of Charities Annual Report,2018-11-23,2019-06-28,List of data on charities and IPCs collected from office of Commissioner of Charities,Annual,2012-01-01,2018-12-31,6ec8fb0b-15d8-4308-be08-fbeb3d250f89,Percentage of Annual Receipts by Size,This dataset is published in the Commissioner of Charities Annual Report which contains the percentage of annual receipts sorted annually by size.,CSV
Health Promotion Board,12e5ec39-e051-45bf-a972-64d86881489f,"Common health problems of students examined - Defective Vision, Annual",2016-05-30,2019-03-28,Number of students with visual acuity - VA (Snellen)  6/12 or VA (LogMAR)  0.30 for male and female students,Annual,2009-01-01,2018-12-31,4c7c5734-53b6-4169-98ab-238329e61db2,"Common health problems of students examined - Defective Vision, Annual",na,CSV
Health Promotion Board,c961dd47-f57e-4a37-8be8-a015381a613e,"Common health problems of students examined - Overweight, Annual",2016-05-30,2019-03-28,"Number of students who are overweight, BMI-for-age  90th percentile (for males and females who are in Primary 1 and Primary 5)",Annual,2009-01-01,2018-12-31,7f8abd13-5662-46ac-9c9b-12718ce973ea,"Common health problems of students examined - Overweight, Annual",na,CSV
People's Association,a769dcb8-75e6-4b20-9b62-1af1bb267fc2,Community Clubs,2015-10-20,2020-01-08,to locate community clubs in Singapore,Adhoc,na,na,da666988-6c48-4f02-9ddf-bd8b11609cfd,Community Clubs (KML),na,KML
People's Association,a769dcb8-75e6-4b20-9b62-1af1bb267fc2,Community Clubs,2015-10-20,2020-01-08,to locate community clubs in Singapore,Adhoc,na,na,cf998c23-4890-46cc-8b71-3762ce10bdc1,Community Clubs (GEOJSON),na,GeoJSON
People's Association,f6981fbe-a151-4f77-876f-dbddae347b43,Community Devt Councils,2016-04-27,2019-07-05,to locate Community Development Councils in Singapore,Adhoc,na,na,deef4237-7a2b-41b8-9660-7c40ff2ced8e,Community Devt Councils (KML),na,KML
People's Association,f6981fbe-a151-4f77-876f-dbddae347b43,Community Devt Councils,2016-04-27,2019-07-05,to locate Community Development Councils in Singapore,Adhoc,na,na,f91dc499-c737-461f-9c05-e99e7c44746c,Community Devt Councils (GEOJSON),na,GeoJSON
National Parks Board,d7c8a082-419e-41f0-b0ba-454ca08d7751,Community in Bloom (CIB),2016-04-27,2016-06-09,This dataset shows the indicative location of access to the registered community gardens in CIB programme.,Adhoc,na,na,9cb42cb6-a710-4406-b281-30b3903de33a,Community in Bloom (CIB) (KML),na,KML
National Parks Board,d7c8a082-419e-41f0-b0ba-454ca08d7751,Community in Bloom (CIB),2016-04-27,2016-06-09,This dataset shows the indicative location of access to the registered community gardens in CIB programme.,Adhoc,na,na,f49b88d6-c4af-4f36-923f-c87d4abc32dd,Community in Bloom (CIB) (SHP),na,SHP
Ministry of Law,7cb5bbe5-0b65-477d-a68e-f6f3747419fb,Community Mediation,2017-06-14,2017-12-19,Shows locations of Community Mediation Centres,Annual,na,na,7ac6b635-e68b-4a00-8ea6-0663dbacda5c,Community Mediation (KML),na,KML
Singapore Land Authority,72019c2a-b6ab-4f5a-af45-d959655752ff,Community Use Sites,2015-05-20,2020-01-08,This layer contains spatial information on all the community Use Sites managed by HDB and SLA (on State land),Quarterly,na,na,49fdc62b-cda2-404b-9368-e14db456e2ab,Community Use Sites (KML),na,KML
Singapore Land Authority,72019c2a-b6ab-4f5a-af45-d959655752ff,Community Use Sites,2015-05-20,2020-01-08,This layer contains spatial information on all the community Use Sites managed by HDB and SLA (on State land),Quarterly,na,na,6ecf19bc-a82f-4c43-9383-9c4bcec4f4bd,Community Use Sites (GEOJSON),na,GeoJSON
Land Transport Authority,e3450a49-4a9e-4e23-9d6d-906126e83fb6,Commuter Facilities (Bus and Taxi),2016-04-25,2017-06-07,"All bus stops, bus interchanges, bus terminals, taxi stops & taxi stands in Singapore.",Annual,2002-01-01,2013-12-31,2198da0e-e7fd-43f9-8b66-749255f430bf,Commuter Facilities,"All bus stops, bus interchanges, bus terminals, taxi stops & taxi stands in Singapore.

Facilities include only those maintained by the Land Transport Authority (LTA). Other road structures maintained by the LTA include culverts, retaining walls, street lightings, etc",CSV
Urban Redevelopment Authority,d0c740f6-95c1-43e2-9a1c-b597ed70ff7d,"Private Property Price Index by Type, Quarterly",2016-06-07,2020-01-09,"The residential statistics were compiled from information in caveats lodged at the option stage with the Singapore Land Registry, supplemented with Stamp Duty data from the Inland Revenue Authority of Singapore, as well as data provided by developers for new sales. A caveat is normally lodged by a purchaser to protect his/her interest of a property shortly after the option to purchase is exercised.  The prices in 2009-Q1 are used as the base reference price of the index. The indices are compiled based on a Stratified Hedonic Regression method.  The value of properties transacted in the past 5 quarters are used as weights.  The weights are revised every 3 years.  The latest revision was in 2015-Q1.

The commercial statistics were compiled from information in caveats lodged at the option stage with the Singapore Land Registry.  A caveat is normally lodged by a purchaser to protect his/her interest of a property shortly after the option to purchase is exercised. The prices in 1998-Q4 are used as the base reference price of the index (i.e. the index for 1998-Q4 assumes a value of 100).The indices are compiled based on a Moving Average weight method, whereby the value of properties transacted in the past 12 quarters are used as weights.",Quarterly,1975-01-01,2019-09-30,5d9a30b6-137f-497d-ab38-b2a9508c7b18,"Private Residential Property Price Index (Base Quarter 2009-Q1 = 100), Quarterly","The residential statistics were compiled from information in caveats lodged at the option stage with the Singapore Land Registry, supplemented with Stamp Duty data from the Inland Revenue Authority of Singapore, as well as data provided by developers for new sales. A caveat is normally lodged by a purchaser to protect his/her interest of a property shortly after the option to purchase is exercised.  The prices in 2009-Q1 are used as the base reference price of the index. The indices are compiled based on a Stratified Hedonic Regression method.  The value of properties transacted in the past 5 quarters are used as weights.  The weights are revised every 3 years.  The latest revision was in 2015-Q1.",CSV
